Κωδικός Τμήματος,Σχολή,link,Πόλη,Πεδία,Εισακτέοι,Βάση 2025,"Συντελεστής Ε.Β.Ε,",Ε.Β.Ε.,Συντελεστής Ε.Β.Ε. Ειδικών μαθημάτων,Ε.Β.Ε. Ειδικών μαθημάτων
334,"Παιδαγωγικό Δημοτικής Εκπ/σης, Δυτ. Μακεδονίας",http://www.uowm.gr/,Φλώρινα,"I,II,III,IV",182,12860,0.80,08.40,,
341,"Παιδαγωγικό Νηπιαγωγών, Δυτ. Μακεδονίας",http://www.uowm.gr/,Φλώρινα,"I,II,III,IV",178,10975,1.00,10.50,,
342,"Αρχειονομίας, Βιβλιοθηκονομίας & Μουσειολογίας, Ιονίου",http://www.ionio.gr/,Κέρκυρα,"I,IV",64,8525,0.80,08.40,,
348,"Κοινωνιολογίας, Αιγαίου",http://www.aegean.gr/,Μυτιλήνη,I,200,8560,0.80,09.04,,
351,"Πολιτικής Επιστήμης, Κρήτης",http://www.uoc.gr/,Ρέθυμνο,I,202,9300,0.80,09.04,,
354,"Πολιτισμικής Τεχνολογίας & Επικοινωνίας, Αιγαίου",http://www.aegean.gr/,Μυτιλήνη,"I,IV",138,8355,0.80,08.40,,
355,"Διεθνών & Ευρωπαϊκών Σπουδών, Πειραιά",http://career.unipi.gr/,Πειραιάς,"I,IV",124,18990,1.20,13.22,1.00,13.36
357,"Πολιτικών Επιστημών, ΑΠΘ",http://www.auth.gr/,Θεσσαλονίκη,I,115,14410,0.80,09.04,,
362,"Θεατρικών Σπουδών, Πελοποννήσου",http://www.uop.gr/,Ναύπλιον,I,112,9075,0.80,09.04,,
367,"Τεχνών Ήχου & Εικόνας, Ιονίου",http://www.ionio.gr/,Κέρκυρα,"I,II,III,IV",86,9410,0.80,08.40,,
373,"Πολιτικής Επιστήμης, ΔΠΘ",http://www.duth.gr/,Κομοτηνή,I,146,10660,0.80,09.04,,
384,"Θεωρίας & Ιστορίας της Τέχνης, ΑΣΚΤ",http://www.asfa.gr/,Αθήνα,I,67,10210,0.85,09.60,,
385,"Ξένων Γλωσσών Μετάφρασης & Διερμηνείας, Ιονίου",http://www.ionio.gr/,Κέρκυρα,I,91,14300,0.80,09.92,0.80,11.23
401,"Επιστήμης Φυσικής Αγωγής & Αθλητισμού, ΕΚΠΑ",http://www.uoa.gr/,Αθήνα,"I,II,III,IV",111,17399,0.80,08.55,0.70,07.73
402,"Επιστήμης Φυσικής Αγωγής & Αθλητισμού (Εισ. Κατ.), ΑΠΘ",http://www.auth.gr/,Σέρρες,"I,II,III,IV",113,13729,0.80,08.55,0.70,07.73
403,"Επιστήμης Φυσικής Αγωγής & Αθλητισμού (Εισ. Κατ.), ΑΠΘ",http://www.auth.gr/,Θεσσαλονίκη,"I,II,III,IV",112,17161,0.80,08.55,0.80,08.84
404,"Επιστήμης Φυσικής Αγωγής & Αθλητισμού, ΔΠΘ",http://www.duth.gr/,Κομοτηνή,"I,II,III,IV",332,13219,0.80,08.55,0.70,07.73
405,"Επιστήμης Φυσικής Αγωγής & Αθλητισμού, Θεσσαλίας",http://www.uth.gr/,Τρίκαλα,"I,II,III,IV",151,15134,1.00,10.69,0.70,07.73
406,"Μουσικών Σπουδών, ΑΠΘ",http://www.auth.gr/,Θεσσαλονίκη,"I,II,III,IV",61,14590,0.80,09.91,0.70,07.69
407,"Μουσικών Σπουδών, Ιονίου",http://www.ionio.gr/,Κέρκυρα,"I,II,III,IV",102,13440,0.80,09.91,0.80,08.79
408,"Μουσικών Σπουδών, ΕΚΠΑ",http://www.uoa.gr/,Αθήνα,"I,II,III,IV",70,15050,0.90,11.15,0.80,08.79
409,"Μουσικής Επιστήμης & Τέχνης, Μακεδονίας",http://www.uom.gr/,Θεσσαλονίκη,"I,II,III,IV",78,15600,1.20,14.86,1.10,12.08
411,"Πολιτικής Επιστήμης & Διεθνών Σχέσεων, Πελοποννήσου",http://www.uop.gr/,Κόρινθος,I,110,11530,0.95,10.73,,
413,"Πρόγραμμα Ιερατικών Σπουδών, Αν. Εκκλ. Ακαδ. Αθήνας",http://www.aeaa.gr/,Αθήνα,I,35,9130,0.80,09.04,,
416,"Πρόγραμμα Ιερατικών Σπουδών, Αν. Εκκλ. Ακαδ. Κρήτης",http://www.aeahk.gr/joomla/index.php/,Ηράκλειο,I,36,,0.80,09.04,,
